code,name
360,360/MM,Cotix
For,Fort-Max/combined,Cap,
Gaba,Gaba(Gabapentin),300mg,Cap
Gals,Galsit(Sitagliptin),50mg,Tab
Gastro,Gastro-D/Rabeprazol+Domperidone,20mg,Cap
Gau,Guaze,Pad
gavi,Gavimax(Levetiraxetam),500mg,Tab
Ge,Getryl/Glimepiride,1mg,Tab
Gel,Gelofusine,500ml,Ser
gen,Genesis(Gliclazide),30mg,Tab
Genesi,Genesis/Gliclazide,60mg,Tab
Geox,Geoxit,/fluoxetine/20mg,cap
Get,Getryl/Glimepiride,2mg,Tab
Geto,Getofin(Ceftriaxone),1g,Vail
Getof,Getofin/Ceftriaxone,500mg,Vil
Getr,Getryl/Glimepiride,3mg,Tab
Getry,Getryl/Glimepiride,4mg,Tab
Glo,Gloves/7.5
Glu,Glucophage/Metformin,1G,Tab
Gluco,Glucophage(Metformin),1g,Tab
Gly,Glycon-M/Sita+Metf,50/500mg,Tab
Glyt,Glytec-M(Sitagliptin+Metformin),50mg/500mg,Tab
Glytec,Glytec-M(Sitagliptin+Metformin),50mg/1000mg,Tab
Glyz,Glyzia/Sitagliptin/Metformin,50/500mg,Tab
Gom,Gomen/Combined,Tab
Gon,Gonadotrophin/5000,IU,Inj
Goois,Gooiscan
Gour,Gouric/Febuxostat,40mg,Tab
Gri,Gripe,Water/Syp,combin
GTN,Fort,GTN,Forte
Gvia,Gvia-M/Sitaglptin+Metformin,50/500,Tab
H,HEMO-B,Plus,Syrup
H2F,H2F(Famotidine),20mg,Tab
Hag,Hagimox/Amoxicilin,250mg,Cap
Hagi,Hagimox(Amoxicillin),250mg,Cap
Halo,Haloperidol,0.5,Tab
Haloperi,Haloperidol,5mg,Amp
Haltide,Halide,HFA(Salbutamol+Beclometasone),Inhaler
Hel,Helen/Fluoxetine,20mg,Cap
Herb,herbesser/Diltiazem,90mg,Tab
Hexi,Hexidyl/Trihexyphenidyl,2MG,Tab
Hig,Highgrow(Ketoconazole+Zinc),Shampoo
Hydr,Hydroderm/Gel,150g
Hydrog,Hydrogen,Peroxide
Hydroz,Hydrozole/Hydrocortisone,1%,Cre
Hytrin,Hytrin(Terazosin,Hydrochloride),2mg,Tab
Ind,Indmethacin,25mg,Cap
Inf,Infusion,Set
Infex,Infexin/Cephradin,500mg,Cap
ins,Insulin,Syringe,100u
Ipri,Ipride,SR/Itopride,150mg,Tab
IQ,IQ,Gold/Combinde,Syp
Iso,Isotonic/,Nasal,Relif,Spray
Itp,ITP/itopride,50mg,Tab
ITP,i,ITP,OD(Itopride),150mg,Tab
Iv,P,Iv/Plaster
Jen,Jentin,Met/Sitagliptin/Metformin,50/500,Tab
Joh,Johnsoni/,Baby,jelly
Johar,Johar,Joshanda
Jui,Juice,ORS
K,Kitpain(Ketorolac),30mg,Amp
K-k,K-kort/Triamcinolone,40mg,inj
Kar,Karis/Glycerin,Cream
Keep,Keep,Healthy
Ket,Ketopal/Ketoconazole,2%,Shampoo
Kin,KING,POWER,TAB
King,King,Power(Sildenafil+Dapoxetine),Tab
Kip,D,Kip,Drymin,Syrup
Kle,Kleen,Enema/COMBINED,Losh
Kor,Korzin/Serratiopeptidase,5mg,Tab
Kuf,Kufdri,(Expectorant,Cough),Syrup
L,Levobrax(Levosulpiride),50mg,Tab
La,Lamitor(Lamotriginr),25mg,Tab
Lab,Labetalol,50mg/10ml,Inj
Labo,Labo-Spas(Drotaverine),40mg,Tab
Lami,Lamitor(Lamotrigine),50mg,Tab
Lan,Lanoxin/Digoxin,0.25mg,Tab
Larg,Largopen/Amoxicillin,125mg,SYP
Largo,Largopen/Amoxicillin,250mg,SYP
Lasi,Lasix/Furosemide,40mg,Tab
Le,Levopiride(Levosulpiride),50mg,Tab
Ledaf,Ledaflor,10mg,Drops
Ledal,Ledalur,250ml,Syp
Leos,Leos(Levosulpiride),50mg,Tab
Leps,Lepsi/Levetiracetam,1000mg,Solu
Lev,Levomerc/Levofloxacin,250mg,Tab
Leve,Levegetam-500(Levetiracetam),500mg,Tab
Levet,Levetafine/Levetiracetam,500mg,Tab
levor,Levoride(Levosulpride),50mg,Tab
Levox,Levoxinr(Levothyroxine),100mcg,Tab
Lido,Lidosporin,Ear,Drops
Lil,Lilac(Lactulose),120ml,Syrup
Lipg,Lip,Guard
Lipi,Lipiget(Atorvastatin),20mg,Tab
Liz,Lizolix/linezolid,600mg,Tab
Lo,Lo-aram,Lorazepam,2mg,Tab
Lo-A,Lo-Aram/Lorazepam,2mg,Tab
Lok,Loko/plaster,7.5
loko,Loko/Plaster,2.5cm
Long,Long,Last(Sildenafil),100mg,Tab
Lor,Lorgy/Loratadine,10mg,Tab
Lora,Lorazepam,2mg,Tan
Loraz,Lorazepam,1mg,Tab
Lul,lulla,Baby/Diapers
Lys,lysovit/B-Comp/Vit,C,120ml,Syp
Lzid,Lzid(Linezolid),600mg,Tab
M,Moxvid-500(Amoxycillin),500mg,Cap
M00001,Real-Vit,(Multivitamins),/,Syp
M00002,Cofaid-D/,Syp
M00003,Focin,(Fosfomycin),250mg/,Syp
M00004,Urocran,(Cranberry),/,250mg/,Sach
M00005,Ulsanic,(Sucralfate),1g/,Syp
M00006,Trimetabol/,Syp
M00007,Novidat,(Ciprofloxacin),400mg/,Inf
M00008,Novidat,(Ciprofloxacin),200mg/,Inf
M00009,Neurozin,(Multiglycerophosphate),/,Syp
M0001,DELTACORTRIL,TAB
M00010,Multiglycerophosphate/,Syp
M00011,Neutrix,(Multiglycerophophate),/Syp
M00012,Urofast,/Syp
M00013,Nefrolit,100mg/,Syp
M00014,Kidfow,100mg/,Syp
M00015,Neuro,Nerve,(Ginkobiloba+B,Complx),/,Syp
M00016,Tres-Orix,Forte,/Syp
M00017,Fairodoll/,Syp
M00018,Vidaylin/,Syp
M00019,Vidaylin,L/,Syp
M00020,Motilium,(Dompridone),1mg/,Syp
M00021,Duphalac,(Lactolose),66.7%/Syp
M00022,Gastracid,/,SYP
M00023,Pepsil/,Syp
M00024,Iberet/,Syp
M00025,Spaslar,P(Hosin),5mg/,Syp
M00026,Steron(Prednisolne),15mg/,Syp
M00027,Flagyl(Metrandazole),200mg/,Syp
M00028,Metodine/,Syp
M00029,Moxilium(Amoxycillin),125mg/,Syp
M00030,Moxilium(Amoxycillin),250mg/,Syp
M00031,Monteur(Montelukast+Levocetirizine),4/2.5mg,Syp
M00032,Ond(Ondansetron),4mg/,Syp
M00033,Sanaflu/,Syp
M00034,Zetro(Azithromycin),200mg/,Syp
M00035,Brufen(Ibuprofen),100mg/,Syp
M00036,Brufen(Ibuprofen),200mg/,Syp
M00037,Pedifen(Ibuprofen),100mg/,Syp
M00038,Total,Vit(Multivitamins),/,Syp
M00039,Total,Vit,Junior(Multivitamins),/,Syp
M00040,Voren(Diclofenac),75mg
M00041,Amclav(Co-Amoxiclav),156mg/,Syp
M00042,Curecef(Cefixime),200mg/,Syp
M00043,Amclav,DS(Co-Amoxiclav),312.5mg/,Syp
M00044,Curecef(Cefixime),100mg/,Syp
M00045,Cefiget,DS(Cefixime),200mg/,Syp
M00046,Novidat(Ciprofloxacin),125mg/,Syp
M00047,Novidat(Ciprofloxacin),250mg/,Syp
M00048,Infixiin(Cephradin),125mg/,Syp
M00049,Infixiin(Cephradin),250mg/,Syp
M00050,Disprin(Aspirin),Tab
M00051,Parol(Paractamol),120mg/,Syp
M00052,Calpol(Paractamol),120mg/,Syp
M00053,Zinc/,Syp
M00054,OBH,Plus/,Syp
M00055,Milak,oF,Magnasiam,160mg/,Syp
M00056,Keflex(Cehalexin),125mg/,Syp
M00057,Keflex(Cehalexin),250mg/,Syp
M00058,Lorgy(Lortadine),5mg/,Syp
M00059,Cetri(Cetrizine),5mg/,Syp
M00060,Mosegor(Pizotnen),0.25mg/,Syp
M00061,F,Tone(Phenobarbitone),20mg/,Syp
M00062,Kidflow,30ml/,Drop
M00063,Sabal,Serr,30ml/,Drop
M00064,Nefrolit,B,30ml/,Drop
M00065,Yohimbinum,30kml/,Drop
M00066,Rigix(Cetrizine),5mg/,Syp
M00067,Grucid(Omeprazole),Cap
M00068,Vermox(Mebendazole),/,Syp
M00069,Zental(Albendazole),/,Syp
M00070,Actidil(Trirolidine),1.25mg/,Syp
M00071,Ariadry(Dipenhydramine),/,Syp
M00072,Septran,DS(Co-trimoxazole),80/400mg/,Syp
M00073,Cosom/,Syp
M00074,Cosom,E/,Syp
M00075,Corex,D/,Syp
M00076,Hydryilin/,Syp
M00077,Mucine/,Syp
M00078,Cremaffin/,Syp
M00079,Gaviscan/,Syp
M00080,Gravinate(Dimenhydriate),12.5mg/,Syp
M00081,Listamine,15%/,Sol
M00082,Fexet,D,60/120mg/,Tab
M00083,Melatonin,3mg/,Tab
M00084,Paroxogen(Paroxetine),20mg/,Tab
M00085,Acylex(Aclalovir),800mg/,Tab
M00086,Nerovon(Mecobalamin),500mcg/,Tab
M00087,Fifex(Fexofenadine),60mg/,Tab
M00088,Ytig,Plus/,Tab
M00089,Clomfranil(Clomipramine),10mg/,Tab
M00090,Leedoz(Levonorgestrel),/,Tab
M00091,Depex(Fluoxetine),/,Tab
M00092,Clomfranil(Clomipramine),25mg/,Tab
M00093,Imipramine,25mg/,Tab
M00094,Olanzia(Olanzapine),5mg/,Tab
M00095,Sensival(Nortriptyline),25mg/,Tab
M00096,Busron(Buspirone),5mg/,Tab
M00097,Cyproheptadine,4mg/,Tab
M00098,Limigzol(Zolmitriptan),2.5mg/,Tab
M00099,Imipramine,10mg/,Tab
M00100,Tegral(Carbamazepine),200mg/,Tab
M00101,Phenobarbital,100mg/,Tab
M00102,Depoxevis(Dapoxetine),30mg/,Tab
M00103,Tryptanol(Amitriptyline),25mg/,Tab
M00104,Amitriptyline10mg/,Tab
M00105,Amitriptyline25mg/,Tab
M00106,Avonum(Promethazine),/,Tab
M00107,Librax(Chlordiazepoxide+Clidinium),/,Tab
M00108,Tenaxit(Flupentixol+Melitracen),05/10mg/,Tab
M00109,Paromax,CR(Paroxetine),12.5mg/,Tab
M00110,Prothiaden(Dosulepin),25mg/,Tab
M00111,Prothiaden(Dosulepin),75mg/,Tab
M00112,Inderal(Propranolol),40mg/,Tab
M00113,Inderal(Propranolol),10mg/,Tab
M00114,Seroft(Sertraline),50mg/,Tab
M00115,Seroft(Sertraline),100mg/,Tab
M00116,Qusel(Quetiapine),25mg/,Tab
M00117,Epival(Divalproex,sodium),250mg/,Tab
M00118,Epival(Divalproex,sodium),500mg/,Tab
M00119,Napsum(sumatriptan+Naproxen),80/500mg/,Tab
M00120,Prolexa(Escitalopram),10mg/,Tab
M00121,Olanzia(Olanzapine),5mg/,Tab
M00122,Olanzia(Olanzapine),10mg/,Tab
M00123,Dulan(Duloxetine),20mg/,Cap
M00124,Cetralex(Sertraline),50mg/,Tab
M00125,Cetralex(Sertraline),100mg/,Tab
M00126,Pequit(Quetiapine),25mg/,Tab
M00127,Ventolin(Sailbutamol+Guaiphenesin),/,Syp
M00128,Ventolin(Sailbutamol),/,Syp
M00129,Jetepar(Detoxicating,agent),/,Syp
M00130,Pulmonol/,Syp
M00131,Hepa,Merz/,Syp
M00132,Evion(Vitamin,E),600mg,Cap
M00133,Evion(Vitamin,E),200mg,Cap
M00134,Skinwell/,Tab
M00135,Clomace(Clomifene),50mg/,Tab
M00136,Real-Vit,(Multivitamins),/,Tab
M00137,Maxna(Tranexamic,Acid),500mg/,Tab
M00138,Ovacare/,Tab
M00139,Navidoxine(Meclizine+B6),/,Tab
M00140,Vitamin,B6/,Tab
M00141,Calcium,Carbonate/,Tab
M00142,Mosegor(Pizotnen),0.25mg/,Tab
M00143,Prequin(Conjugate,Estrogens),0.625mg/,Tab
M00144,Brotin(Bromocriptine),/,Tab
M00145,Flu-con(Fluconazole),150mg/,Cap
M00146,Diane,35/,Tab
M00147,Ferfolic/,Cap
M00148,Multibionta(Multivitamins),/,Cap
M00149,Sangobion/,Cap
M00150,Ovocept-LD(Contraceptive),/,Tab
M00151,Osteocare/,Tab
M00152,Ferfix-FA/,Tab
M00153,Duphaston(Dydrogesterone),10mg/,Tab
M00154,Vivioptal/,Cap
M00155,Momfolic(L-Methul,Folate),/,Tab
M00156,Zinc,Sulphate,20mg/,Tab
M00157,Surbex,Z,Tab
M00158,Folic,Acid/,Tab
M00159,Flagyl(Metrandazole),400mg/,Tab
M00160,Ansaid(Flurbiprofen),100mg,Tab
M00161,Vitamin,A,5000IU/,Cap
M00162,Calcimax,Forte/,Tab
M00163,Omega3/,Cap
M00164,Cabersen(Cabergoline),0.5/,Tab
M00165,Spinster(Misoprostol),200mg/,Tab
M00166,Calcimax,OP/,Tab
M00167,Folic(Folic,Acid),5mg/,Tab
M00168,Vitamin,C,Amp
M00169,Decadron,Inj
M00170,Repramol(Paracetamol),750mg,Inj
M00171,Omni/,Tab
M00172,Trihemic,600mg/,Tab
M00173,Fefol,Vit/,Cap
M00174,Zyloric(Allopurinol),300g/,Tab
M00175,Plicamol(Paracetamol),150mg,Inj
M00176,Phenazomex(Phenazopyridine),100mg/,Tab
M00177,Abnil(Orlistat),120mg/,Tab
M00178,Arinac(Ibuprofen+Pseuoephedrinr),400mg/,Tab
M00179,Arinac(Ibuprofen+Pseuoephedrinr),200mg/,Tab
M00180,Mits(Meloxicam),15mg/,Tab
M00181,Musidin(Tinizidine),4mg/,Tab
M00182,Cytopan(Diclofenac+Misoprostol),50mg/,Tab
M00183,Solifen(Solifenacin),10mg/,Tab
M00184,Solifen(Solifenacin),5mg/,Tab
M00185,Urocan(Flavoxate),100mg/,Tab
M00186,Urocan(Flavoxate),200mg/,Tab
M00187,Dynalip,PT/,Tab
M00188,Contiflo(Tamsulosin),0.4mg/,Cap
M00189,Silorap(Silodosin),8mg/,Cap
M00190,Gabix(Gabapentin),100mg/,Cap
M00191,Gabix(Gabapentin),300mg/,Cap
M00192,Dobalta(Duloxitin),30mg/,Cap
M00193,Pgap-MB(Pregabalin+Methylcobalamin),75/500mg,Tab
M00194,Ricknil(Alfacacidol),0.5/,Tab
M00195,Maxflo,D(Dutasteride+Tamsulosin),/,Cap
M00196,Calbex(Celecoxib),200mg/,Cap
M00197,Active,Plus/,Cap
M00198,COQ-10(Coenzyme),/,Cap
M00199,Mirabet(Mirabegron),25mg/,Tab
M00200,Oxybutynini,5mg/,Tab
M00201,Nimace(Nimesuild),100mg/,Tab
M00202,Naprox(Naproxin),250mg/,Tab
M00203,Naprox(Naproxin),500mg/,Tab
M00204,Spiromide(Spironolactone+Furosemide),/,Tab
M00205,Aldactone(Spironolactone),100mg/,Tab
M00206,Chymral,Forth(Trypsin+Chymotrypsin),/,Tab
M00207,Actho,P(Thiocolchicoside+Acelofenac+paracetamol
M00208,Voltral,50mg(,Diclofenan,50mg),Tab
M00209,Voltral,100mg,(Diclofenac,100mg),Tab
M00210,Urigo,40mg,(Febuxostat,40mg),Tab
M00211,Fenoget,67,mg(Fenofibrate,67mg),Tab
M00212,Fenoget,200mg(Fenofibrate,20mg),Tab
M00213,Nuberol,Forte(Paracetamol+orphenadrine),Tab
M00214,Beflam,75mg(Diclofenac,75mg),Tab
M00215,OAD(STRENGTH,AND,STAMINA),Tab
M00216,Hairfin,1mg(Finasteride,1mg),Tab
M00217,Proviron(Mesterolone),Tab
M00218,Cytotrexate,10MG,(Methotrexate,10mg),Tab
M00219,Oligo,Care(Combeind),Tab
M00220,Gonadil,F,(Tribuls,terrestrise,ext,comp),cop
M00221,Caver,Nos,(Libido,Enhancer),Cop
M00222,Voren,5mg,(Diclofenac,50mg),Cop
M00223,Duragesic,(Orphenadrine,citrate+paracetamol),Tab
M00224,Pritone,4mg(Chlorpheniramine,4mg),Tab
M00225,Actived,Charchol,(Carbon),Tab
M00226,Spasmolyte,(Dicyloverine,hydrochloride20mg),Tab
M00227,Acetaminophen,(Acetaminophen,+codeine),Tab
M00228,Neurobion(Vit,B1.B6.B12),Inj
M00229,Tenorimn,100MG(Atenolol,100mg),Tab
M00230,Bepsar,25MG(Losartan,potassium25mg),Tab
M00231,Misar,80MG(Telmisartan80mg),Tab
M00232,Rampice,5MG(Rampril,5mg),Tab
M00233,Norplat,S,(Clopidogrelaspirin,75/75mg),Tab
M00234,Metonce,25mg(Metoprolol,25mg),Tab
