code,name,departmentCode,fee
PCNL,PCNL FOR KIDNY STONE,URO,
PEDIA,PEDIATRIC BED/FEE/24 HR,PED,
PELV,PELVIC,RAD,
PELVIS,PELVIS X-RAY,RAD,
PEPTIC,PEPTIC PERFORATION,OPEN,
PERI,PERITONEAL TAP,PED,
PERICAR,PERICARDIOCENTESIS,INTER,
PFT,P.F.T,RAD,
PHY1,PHYSIOTRAPY FOR 1 DAY,PHYS,
PHY10,PHYSIOTRAPY FOR 10 DAYS,PHYS,
PHY2,PHYSIOTRAPY FOR 2 DAYS,PHYS,
PHY3,PHYSIOTRAPY FOR 3 DAYS,PHYS,
PHY4,PHYSIOTRAPY FOR 4 DAYS,PHYS,
PHY5,PHYSIOTRAPY FOR 5 DAYS,PHYS,
PHY6,PHYSIOTRAPY FOR 6 DAYS,PHYS,
PHY7,PHYSIOTRAPY FOR 7 DAYS,PHYS,
PHY8,PHYSIOTRAPY FOR 8 DAYS,PHYS,
PHY9,PHYSIOTRAPY FOR 9 DAYS,PHYS,
PLE,PLEURA TAB,EME,
PLEUR,PLEURAL TAB,INTER,
PLEURA,PLEURAL TAB,INTER,
POR,BREST DOPPLER,RAD,
PORC,PROCELLIN PER UNIT,DENTA,
PORCE,STEEL COVER PER UNIT,DENTA,
POST,POST FOSSA TUMORS,NEURO,
PROCE,PROCEDURE DJ STENT REMOVE,URO,
PROCED,PROCEDURE STENT,URO,
PROGO,PRO-GOLD PER UNIT,DENTA,
PROSTA,PROSTATECTOMY,OPEN,
PYEL,PYELOPLASTY,URO,
R.C.T MT,REMAKING OF DENTURE,DENTA,
R.C.T+FI,R.C.T+FILLING BY COMPOSIT,DENTA,
R202,ROOM 202,IPD,
R203,ROOM 203,IPD,
R204,ICU ROOM 204,IPD,
R205,ROOM 205,IPD,
R206,ROOM 206,IPD,
R207,ROOM 207,IPD,
R208,VIP ROOM 2,IPD,
R301,VIP ROOM 1,IPD,
R302,ROOM 302,IPD,
R306,RECOVERY ROOM(GYN) 306,IPD,
R401,ROOM 401,IPD,
R402,ROOM 402,IPD,
R403,ROOM 403,IPD,
R404,ROOM 404,IPD,
R405,VIP ROOM 3,IPD,
R502,ROOM(PED) 502,IPD,
R503,ROOM(PED) 503,IPD,
R504,ROOM(PED) 504,IPD,
R506,ROOM(PED) 506,IPD,
R508,NURSARY ROOM(PED) 508,IPD,
Remo,Remove Of IUCD,GYN,
Remove,Remove Of Implant,GYN,
REN,RENAL (KIDNEY) DOPPLER,RAD,
RETENOR,RETENOR,DENTA,
RIGHT,RIGHT HEMICOLECTOMY,OPEN,
ROU,ROUTIN DIALYSIS,DIALY,
s11,Nilab,GYN,
SAP,SPINAL FENESTRATION,NEURO,
SC,SC INJECTION,EME,
SCAL,SCALLING,DENTA,
SER,SERUM INFUSION,EME,
SERUM,SERUM INFUSION,PED,
SHOUL,AP X-RAY,RAD,
SIM,SIMPLE DRESSING,EME,
SIMP,SYNOSE X-RAY,RAD,
SING,SINGMOIDONCOPY,ENDO,
SKUL,SKULL TUMOR,NEURO,
SKULL,AP-Lat- X-RAY,RAD,
SMAL,DRESSING,EME,
SPEC,SPECIAL EXAMINATION,RAD,
SPIN,SPINAL STENOSIS SINGLE LEVEL,NEURO,
SPINA,SPINAL STENOSIS MULTI LEVEL,NEURO,
SPINAL,SPINAL STENOSIS COMPLECATED,NEURO,
SPINAL I,SPINAL INSTRUMENTATIONS AND FIXATIONS,NEURO,
SPINAL T,SPINAL TUMOR,NEURO,
SPL,SPLEENECTOMY,URO,
SPLENECO,SPLENECOTMY,OPEN,
STE,STERNUM,RAD,
STO,STOMACH LAVAGE,EME,
STRES,STRESS ECHO.,INTER,
SUB,SUB DURAL HYGROMA,NEURO,
SUB D,SUB DURAL EYMPYMA,NEURO,
SUB DU,SUB DURAL HEMATOMA,NEURO,
SUP,SUPRA TENTORIAL MENINGIOMA,NEURO,
SUT,SUTURE REMOVE,EME,
TEMP,TEMPORARY FILLING,DENTA,
TES,AB.TESTES,RAD,
TESTI,TESTICLE DOPPLER,RAD,
TESTIS,TESTIS,RAD,
TETH,TETHERED CORD SYNDROME,NEURO,
THOR,THORACIC SPIN X-RAY,RAD,
